# BTCUSDT 1h  source=file-cache  n=8760
# from=2025-07-31T21:00:00.000Z  to=2026-07-31T20:00:00.000Z
timestamp	date	open	high	low	close	volume
1778418000000	2026-05-10T13:00:00.000Z	80927.71	81000.01	80865.44	80971.67	254.25083
1778421600000	2026-05-10T14:00:00.000Z	80971.66	80999.36	80816.22	80990.11	372.4586
1778425200000	2026-05-10T15:00:00.000Z	80990.11	81442.81	80936	81418.01	780.28503
1778428800000	2026-05-10T16:00:00.000Z	81418.01	81500	81200	81378.25	595.22707
1778432400000	2026-05-10T17:00:00.000Z	81378.25	81583.11	81220	81476.18	599.74468
1778436000000	2026-05-10T18:00:00.000Z	81476.18	81493.11	81231.14	81271.96	268.90805
1778439600000	2026-05-10T19:00:00.000Z	81271.96	81481.92	81148	81437.83	334.34752
1778443200000	2026-05-10T20:00:00.000Z	81437.83	81459.66	80279.77	80734.88	1021.73969
1778446800000	2026-05-10T21:00:00.000Z	80734.88	80944.44	80571.97	80720.47	691.73163
1778450400000	2026-05-10T22:00:00.000Z	80720.47	82171.96	80666.66	82044.49	1804.86462
1778454000000	2026-05-10T23:00:00.000Z	82044.49	82479.32	82044.49	82210.07	1395.68283
1778457600000	2026-05-11T00:00:00.000Z	82210.07	82380	81280	81471.13	1294.00066
1778461200000	2026-05-11T01:00:00.000Z	81471.13	81744.85	81291.23	81501.72	495.92379
1778464800000	2026-05-11T02:00:00.000Z	81501.73	81572.4	81117.64	81169.08	491.97068
1778468400000	2026-05-11T03:00:00.000Z	81169.09	81188.97	80525	80736.01	857.95581
1778472000000	2026-05-11T04:00:00.000Z	80736	80879.12	80639.99	80824.61	378.47076
1778475600000	2026-05-11T05:00:00.000Z	80824.61	80981.8	80761.73	80832.33	423.68877
1778479200000	2026-05-11T06:00:00.000Z	80832.34	81049.51	80762	80822.86	296.00491
1778482800000	2026-05-11T07:00:00.000Z	80822.86	80840.3	80663.11	80740.4	496.93812
1778486400000	2026-05-11T08:00:00.000Z	80740.4	80863.42	80621.87	80767.97	463.92135
1778490000000	2026-05-11T09:00:00.000Z	80767.97	80997.63	80758.3	80966.57	330.83757
1778493600000	2026-05-11T10:00:00.000Z	80966.58	81200	80940	80940	488.26383
1778497200000	2026-05-11T11:00:00.000Z	80940	81196.95	80900	81196.94	356.37085
1778500800000	2026-05-11T12:00:00.000Z	81196.95	81356.46	81029.77	81054.65	485.8963
